region,date_range,date_span,depth_m,total_ocean_points,model_finite,glorys_finite,argo_finite,model_glorys_pairs,model_argo_pairs,all_three_finite
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,100,556650,519050,519050,2308,519050,1668,1668
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,125,556650,513850,513850,2244,513850,1540,1540
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,150,556650,509600,509600,2148,509600,1360,1360
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,200,556650,502400,502400,2084,502400,1232,1232
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,300,556650,484400,484400,2020,484400,976,976
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,500,556650,460800,460800,1852,460800,768,768
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,700,556650,445200,445200,1788,445200,696,696
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,1000,556650,427600,427600,1756,427600,664,664
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,0,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,5,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,10,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,20,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,30,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,50,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,75,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,100,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,125,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,150,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,200,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,300,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,500,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,700,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,1000,168000,168000,168000,0,168000,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,0,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,5,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,10,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,20,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,30,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,50,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,75,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,100,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,125,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,150,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,200,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,300,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,500,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,700,179200,179200,179200,0,179200,0,0
bay_of_bengal,Mid_Holdout,2023-05-26 to 2023-06-10,1000,179200,179200,179200,0,179200,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,0,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,5,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,10,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,20,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,30,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,50,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,75,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,100,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,125,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,150,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,200,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,300,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,500,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,700,212800,212800,212800,0,212800,0,0
bay_of_bengal,Late_Holdout,2023-06-11 to 2023-06-29,1000,212800,212800,212800,0,212800,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,0,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,5,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,10,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,20,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,30,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,50,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,75,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,100,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,125,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,150,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,200,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,300,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,500,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,700,560000,560000,560000,0,560000,0,0
bay_of_bengal,Full_Holdout,2023-05-11 to 2023-06-29,1000,560000,560000,560000,0,560000,0,0
