target,benchmark_source,scope_type,scope_label,depth_m,n_valid,rmse_c,mae_c,bias_c,median_abs_error_c,p90_abs_error_c,p95_abs_error_c,pearson_r,metric_status,pearson_r_type,aggregation_note
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,pooled_depth_stratum,GLORYS 125-300m aggregate,125-300m aggregate,4250250.0,1.6831,1.3204,1.2248,1.0779,2.8493,3.4581,0.956,computed,pooled_stratum_includes_temperature_gradient_contribution,pool_all_finite_pairs_across_125-300m aggregate_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,pooled_depth_stratum,GLORYS 500-1000m aggregate,500-1000m aggregate,3013600.0,0.5762,0.4705,-0.1192,0.423,0.9324,1.0901,0.7866,computed,pooled_stratum_includes_temperature_gradient_contribution,pool_all_finite_pairs_across_500-1000m aggregate_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,pooled_4d,"Overall ARGO pooled 4D (25,904 pts, Arabian Sea, 4 cycle dates, 5–1000m)",ALL,25904.0,1.8488,1.5654,1.5333,1.4684,2.9526,3.3569,0.9876,computed,4D_POOLED_DOMINATED_BY_VERTICAL_GRADIENT_NOT_SPATIAL_SKILL,pool_all_finite_pairs_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,pooled_4d_regime,Arabian Sea ARGO pooled 4D,ALL,25904.0,1.8488,1.5654,1.5333,1.4684,2.9526,3.3569,0.9876,computed,4D_POOLED_DOMINATED_BY_VERTICAL_GRADIENT_NOT_SPATIAL_SKILL,pool_all_finite_pairs_in_Arabian_Sea_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,pooled_4d_regime,Bay of Bengal ARGO pooled 4D,ALL,0.0,,,,,,,,no_finite_observations,4D_POOLED_DOMINATED_BY_VERTICAL_GRADIENT_NOT_SPATIAL_SKILL,pool_all_finite_pairs_in_Bay_of_Bengal_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,0m,0,0.0,,,,,,,,no_finite_observations,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,5m,5,3404.0,1.869,1.7009,1.7009,1.7437,2.9173,3.0251,-0.7235,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,10m,10,3404.0,1.9502,1.7783,1.7783,1.8664,2.8969,3.0692,-0.6115,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,20m,20,3212.0,1.8955,1.6786,1.6657,1.728,2.9176,3.1796,-0.6222,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,30m,30,2660.0,2.1363,1.9514,1.9468,1.9849,2.8309,3.6043,-0.6209,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,50m,50,2316.0,1.7804,1.5614,1.5473,1.5298,2.5162,3.1334,-0.6352,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,75m,75,2004.0,1.3362,1.1868,0.9593,1.1922,2.0402,2.1764,-0.5244,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,100m,100,1668.0,3.2662,3.1659,3.1659,3.3335,4.058,4.1294,0.0707,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,125m,125,1540.0,1.1993,1.078,1.0138,1.184,1.6809,1.856,0.1891,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,150m,150,1360.0,0.2764,0.2243,0.1475,0.1886,0.4524,0.5131,0.624,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,200m,200,1232.0,1.3372,1.2727,1.2727,1.1979,1.8723,2.1157,-0.1295,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,300m,300,976.0,0.5916,0.5469,0.5449,0.5288,0.8093,0.9167,0.1538,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,500m,500,768.0,0.259,0.2101,0.1024,0.1695,0.4405,0.5251,-0.3421,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,700m,700,696.0,1.0067,0.987,0.987,1.0394,1.2013,1.2308,0.1836,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,individual_depth,1000m,1000,664.0,2.9288,2.9116,2.9116,2.93,3.3246,3.4055,-0.2451,computed,within_depth_spatial_temporal,pool_all_finite_ARGO_pairs_at_this_depth_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,pooled_depth_stratum,ARGO 0-100m aggregate,0-100m aggregate,18668.0,2.034,1.8053,1.7762,1.7783,3.0872,3.5611,0.8463,computed,pooled_stratum,pool_all_finite_ARGO_pairs_across_0-100m aggregate_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,pooled_depth_stratum,ARGO 125-300m aggregate,125-300m aggregate,5108.0,0.9758,0.7962,0.756,0.7455,1.5522,1.7831,0.9675,computed,pooled_stratum,pool_all_finite_ARGO_pairs_across_125-300m aggregate_then_rmse
independent_ARGO,Independent In-Situ ARGO Float Observations,pooled_depth_stratum,ARGO 500-1000m aggregate,500-1000m aggregate,2128.0,1.7414,1.3072,1.2683,1.0031,3.0765,3.2334,0.8945,computed,pooled_stratum,pool_all_finite_ARGO_pairs_across_500-1000m aggregate_then_rmse
PEARSON_r_DECOMPOSITION,Pearson r Decomposition (Section 4 Audit Directive),correlation_decomposition,GLORYS 4D Pooled r [NOT spatial skill — dominated by vertical gradient],VARIES,,,,,,,,0.9869,computed,4D_pooled,GLORYS 4D Pooled r [NOT spatial skill — dominated by vertical gradient]
PEARSON_r_DECOMPOSITION,Pearson r Decomposition (Section 4 Audit Directive),correlation_decomposition,GLORYS Mean Within-Depth r [primary spatial/temporal skill metric],VARIES,,,,,,,,0.4592,computed,within_depth_mean,GLORYS Mean Within-Depth r [primary spatial/temporal skill metric]
PEARSON_r_DECOMPOSITION,Pearson r Decomposition (Section 4 Audit Directive),correlation_decomposition,GLORYS Median Within-Depth r,VARIES,,,,,,,,0.6143,computed,within_depth_median,GLORYS Median Within-Depth r
PEARSON_r_DECOMPOSITION,Pearson r Decomposition (Section 4 Audit Directive),correlation_decomposition,GLORYS Min Within-Depth r,VARIES,,,,,,,,-0.2353,computed,within_depth_min,GLORYS Min Within-Depth r
PEARSON_r_DECOMPOSITION,Pearson r Decomposition (Section 4 Audit Directive),correlation_decomposition,GLORYS Max Within-Depth r,VARIES,,,,,,,,0.7741,computed,within_depth_max,GLORYS Max Within-Depth r
PEARSON_r_DECOMPOSITION,Pearson r Decomposition (Section 4 Audit Directive),correlation_decomposition,ARGO 4D Pooled r [NOT spatial skill — dominated by vertical gradient],VARIES,,,,,,,,0.9876,computed,4D_pooled,ARGO 4D Pooled r [NOT spatial skill — dominated by vertical gradient]
PEARSON_r_DECOMPOSITION,Pearson r Decomposition (Section 4 Audit Directive),correlation_decomposition,ARGO Mean Within-Depth r [primary spatial/temporal skill metric],VARIES,,,,,,,,-0.2309,computed,within_depth_mean,ARGO Mean Within-Depth r [primary spatial/temporal skill metric]
PEARSON_r_DECOMPOSITION,Pearson r Decomposition (Section 4 Audit Directive),correlation_decomposition,ARGO Median Within-Depth r,VARIES,,,,,,,,-0.2936,computed,within_depth_median,ARGO Median Within-Depth r
